id,nombre,tipo,quirk,potencial,maestria_inicial,descripcion,limitaciones
eq-001,Móvil,personal,—,—,—,"Smartphone con contactos ganados en ficción: todo el bosque (Momo 🌹, Jirō, Toru, Mina, Ibara, Kendo) + Tokoyami + Tsuyu + Uravity 🪐 (Uraraka) + Big 3 (Nejire 🌊, Mirio, Tamaki) + Pony 🐴🔔 (1-B) + grupos: Bakusquad, Guardianes del Ocaso, 1-A y 'Big 3 + logística'. Archivos: ley_heroica_v1.mp3 (single del proyecto), fotos de literatura de 3º (34, de Nejire), pruebas de voz con Cuerpo (deberes para Mika), demo 'pista 1 — ciento treinta y pico' (de Jirō). S11: grabación de Put Your Hands Up (3 h 12 min) — shadowing pendiente.",—
eq-002,Libro de Quirks temporales,préstamo,—,—,—,"Préstamo de la biblioteca de UA: casos históricos de Quirks temporales (patrón Comisión, con-007).",Devolver a la biblioteca; contenido sensible.
eq-003,Uniforme de UA + chándal,escolar,—,—,—,Uniforme estándar de UA y chándal de entrenamiento (sesiones de 06:30 con Aizawa).,—
eq-004,Costume de héroe,MOCK-UP OPERATIVO,—,—,—,"Sin costume aún. S14/D15: primer encuentro con Mei Hatsume (taller de Soporte). Mei hace MOCK-UP del costume — **MEMBRANA ADAPTATIVA que late con savia + refuerzos donde brotan alas y bestias + CARTUCHOS DE SANGRE modulares (sellado tipo Toga sin degradación, casi pleno por tipo) codificados por color + estética 'ARCÁNGEL INDUSTRIAL' (rojo litúrgico + vitral gótico + acabados nacarados + chasis técnico)**. 38 patentes internas de Mei. Demo de las alas de savia a Mei pendiente para mañana D16. Costume due antes de los exámenes del 5 jun (observadores presentes). | S16/D17 ENTREGADO Y ESTRENADO (bebe 40): arcangel industrial - membrana adaptativa (sellado de alas NOMINAL en vuelo real) + bandolera de 8 cartuchos de sangre. 40-v2 SUPERSONICO presupuestado (Mach 1.2; 3 semanas + tunel de viento + sangre de Akari para la matriz).",Costume: en mock-up + diseno. Pendiente: telemetría (tubo de Pitot para el club de velocidad del miér 17:00).
eq-005,"Look civil nuevo (""el nuevo Akari"")",personal,—,—,—,"Obra de Hagakure (D6, Kiyashi Ward): pantalón recto oscuro, camisa, 2 camisetas base + CHAQUETA CARMESÍ estructurada color sangre (la pieza estrella; ""es tú"") + cadena fina canalla elegida por Mina (la lleva puesta por ella). Para ""ser visto"". Momo pidió que lo lleve al hotel el domingo (""quiero quitártelo yo"").","Coste total ~¥39.800: ¥6.000 propios + ¥33.800 adelantados por Hagakure (deuda, devolver al cobrar la beca)."
eq-006,Cuadernos de Nejire (física + mates de 3º),préstamo,—,—,—,"S14/D15: DEVUELTOS a Nejire en la biblioteca (física de ondas ya archivada en profundidad en memoria eidetica, mates+literatura de 3o con insights clave, no cada página — matiz de rigor cap M4). El content archivado en con-045/con-046. Patrimonio de Nejire renovado en su estantería.",Devueltos., LO PROMETISTE con los ojos'. [DEVUELTO S14/D15: contenido archivado en memoria eidetica; cuadernos fisicos devueltos a Nejire]
# NOTA S11: la libreta del club (fase 3, tinta) vive en el cuarto de Nejire — NO es equipo de Akari, solo referencia.
eq-007,Modulo de telemetria (bebe 41),prestamo Mei,—,—,—,S16/D17: pitot + GPS + acelerometro + canal en directo a Mei. Midio el hito de los 155 sostenidos y el modo tobera (178). Se lleva en el pecho del costume.
eq-008,Werther anotado (edicion de Midnight),prestamo,—,—,—,S16/D17: prestado en el taller; DEVOLVER EL VIERNES antes de Kioto. Nota personal de ella en pag. 87 ('de las 2 de la madrugada de un martes'). Las notas marginales NO se comparten con Cementoss. Compartir lectura con Todoroki pactado.
eq-009,Pase nocturno oficial de UA,documento,—,—,—,"S16/D17: firmado por Nezu ('la puerta que ya usa, con mi firma debajo, para que nadie se la convierta en expediente')."
