id,nombre,rol,quirk,relevancia,estado
aizawa-001,Aizawa Shota (Eraserhead),Tutor de 1-A,Erasure,alta,"S2-S3: entrenamiento del Eco, reencuadre de su inseguridad. S4/D4: consolidó M4; confirmó la amenaza del BORRADO sin mentir PERO se puso entre él y ese cálculo ('no mientras yo respire'); Akari sintió por 1ª vez el calor de ser protegido (figura paterna). S5/D5: fijó la ESTRATEGIA — maestría CONGELADA a propósito (cada punto es una bengala para 'arriba'; se crece por vías silenciosas: capacidad/acondicionamiento, economía de uso, recuperación en combate). Recibió y SELLÓ como testigo la línea roja anti-Drácula de Akari ('recibir, no tomar'; se ofrece de freno: 'te lo recuerdo aunque tenga que borrarte'). Rechazó la resignación de Akari ante su posible borrado ('no es una opción sobre la mesa; la quité yo'). Entrenó capacidad+economía+bidón bajo presión con su ERASE sin avisar como dificultad (pelear en bruto). Avaló su ventaja AB (drenaje con disciplina). Ética underground compartida: máximo daño, mínimo ruido. Entrenamiento diario 06:30. S8/D7 noche (guardia dominical): lo PILLÓ saltando la valla; lo observó 20 min antes de capturarlo (nota privada: nadie le enseñó a entrenar así — se lo enseñó él); castigo-encargo = informe del agujero (miér, a Nezu en mano); SUPERVISÓ la triple invocación (lección: una voluntad por bestia — nombra, delega) y el simulacro de evacuación (correcciones: ingesta 3s, destinos rankeados, fallo pool-0 → órdenes permanentes); lección de VIGILANTES ante la confesión del vuelo ilegal planeado; AUTORIZÓ el vuelo dentro del campus y lo sacó POR LA PUERTA. Sentencias: un problemático con instinto de rescate / se te ha puesto cara de persona con raíces / lo de hoy no ha estado mal, no se lo digas a nadie. Tutela nocturna formalizada (avisar + puerta + ≥20%). NO SABE que Akari lo llama en privado lo más parecido a un padre que he tenido (dicho a Momo). S9/D8-11: entrenamiento diario (delegación sobrevive al Erasure; reparto de atención medio→casi un ojo); concedió que las bestias son INSTINTO VIVO reactivo (corrigió su propia metáfora). D10: negoció el CASTIGO del colector — lección del RED TEAM (permiso arriba + sorpresa abajo = legítimo; la firma es la diferencia), rechazó el autoflagelo académico, impuso rondas nocturnas supervisadas (formación, no suicidio). Explicó quién es STAIN. RONDA NOCTURNA (vigilancia = buscar anomalías) → detonó la REVELACIÓN DE MÉTODO de Akari (bisturí) y su cambio de motivación ('se te ha encendido algo, se nota hasta en la oscuridad'). D11: le mostró las ALAS DE SAVIA (aprobó el plan de vuelo con la técnica de Nejire; 'no las enseñes en público hasta que vuelen bien'). S10/D11-12: HOMEROOM — anunció EXÁMENES (escritos desde el miércoles 5 junio) + ejercicio de EVACUACIÓN sin previo aviso ('el que pregunte cuándo ya ha suspendido la mitad'); llevaba un SEGUNDO PAPEL que no leyó (anomalía registrada por el bisturí — ¿la cita de Nezu?); mirada de medio segundo extra a Akari (durmió en su sala de profesores). Tutela nocturna: aceptó sin fricción el 'fuera del campus' de Akari (casa de compañera, aviso por la puerta) → 'Recibido. La penitencia sigue siendo mía: mañana viernes hay ronda. 22:30. Duerme rápido.' D12 6:25: esperando en Gamma con termo (sesión de las 6:30 = arranque de S11). S11/D12 — doctrina del ancla ('¿puede el ancla dejar de ser el ancla?'; licuación = última puerta: falange + delante de él + Erasure de freno — 'la única situación del mundo en la que ser borrado te salva la vida'); ETIQUETAS entrenadas 20 min (tells: ojos/peso/parpadeo; escalera 1s→5s examen→Nezu calle; 3 tandas/sem, revisión viernes); réplica del esqueje archivada ('¿el árbol nuevo recuerda al viejo?'); 1-B autorizado ('tu competencia de verdad no lleva uniforme; no desmontes la teoría de Monoma'); Nighteye: 3 condiciones (avisar el día / decidir antes cuánto enseñar / no mentirle — 'administrar el presente') + 'guarda secretos más pesados; si ofrece prácticas, hablamos antes de firmar'; doctrina Nezu ('la moneda es de quién le llega la información primero'); RONDA 22:30-00:26: informe voluntario de fase 3 → 'el colector, al revés… la lección agarró raíz'; MARTES 18:00 Gamma fijado (con Nejire; orden de contención total); '¿roza el alero?' → 'comparte pared: memoria de savia, no tiempo' → 'castaño con raíces demasiado cerca de la casa'; CARPETA VERBAL compartida con Nezu revelada (castaños/alero = terminología); lectura táctica del eco (anti-emisores + falsificación de firmas + 'los Quirks que APRENDEN despiertan apetitos'); 'que el cuaderno siga sin conocer un escáner'; cierre: 'hoy tampoco ha estado mal' (2ª emisión histórica). S14/D15: doctrina 'MONEDA TRUCADA' (Akari + Avatar + savia-tinte + velo-iris = indistinguibles; senuelo anti-borrado); 3 rewinds al amanecer tocando tope M4 ('te has cargado una vida de mas'); scars limpias ~9:30; orden de contención (no rewind antes de media mañana). Petición formal del AULA DE REPASO INTER-CLASE (aula física no lectiva 15-16h voluntaria 1-A+1-B): AIZAWA APRUEBA con condiciones (adulto florero del claustro por turnos, 1-B con Vlad King, EXCUSA para sentarlo con NEZU inmediatamente — 'la excusa para sentarte con Nezu que llevas una cita pendiente'). 'Seis horas. Hasta para ti.' Ronda nocturna cierra el día: 'Largo día. Confesaste un rewind al alba, montaste un aula de repaso antes del desayuno, has estado construyendo coraza toda la tarde en sitios que no me vas a detallar. Bien. Se el activo que UA puede defender. Y ahora me hablas de arcángeles. No está mal pensado, Hayami. LO HAS HECHO BIEN HOY. El rewind, el aula, la contención en el ring. Recuérdalo tú, que eres el único que va a recordarlo de verdad'. | S15/D16: tutoria 06:30 (vigia SABIA el Quirk -> Nezu audita el expediente contra la fuga; borrado 'mirando'; savia vs emisores flagged; aula encarrilada -> cita Nezu inminente). Ley Heroica: reconocio el puente a Tokoyami ('el que enciende la mecha y se calla suele ser el que mas ha entendido'). FASE 3 PRESENTADA (Gamma 18:00): acepta el Eco de firma + la Fase 4 (bucle biplaza) + savia vs emisores; enmarca a Akari como activo estrategico ('eres lo que temiamos que descubrieran -> por eso el vigia'); plan de custodia del cuaderno (copia sellada + cada viernes), mapeo controlado, contencion total (Nezu SI, Comision NO). Reconocio la honestidad proactiva ('esta hora la puse yo; no lo has ocultado') y a Nejire como socia. 'Buen trabajo. Los dos.' | S16/D17: doctrina de armamento de rango (dardos/ballesta-coartada/ANTI-MATERIAL al cuaderno, 'no existe hasta que yo diga'; municion enemiga = 'catar antes de cargar') + supervision del club (protocolo Fase 4) + RESTRICCION del modo tobera (solo con plan de vuelo) + 'hoy el vigia no ha visto nada y aun asi ha sido el dia que mas miedo darias. Buen trabajo.' 'Esto ya es un programa aeronautico con dos adolescentes y un saco de dormir.' | S17: D18: 5k a tope medido (23:58, Erasure de garantia — 'tu numero menos espectacular; el que mas me gusta'); plan de vuelo delegado al duo piloto-copiloto ('la firma es mia; tres borradores'). D19: informe-de-incidente validado en clase ('siguiente'); aviso del taller nocturno recibido -> 'dormir tambien es entrenar. No lo conviertas en doctrina' (TOKEN DE CONFIANZA: avisar funciono). D22: taper pre-examenes administrado (etiquetas suaves); intel de la pizarra grande soplada; TESTIGO de Blackroot-montura (~65 km/h; brindis de termo; 'miercoles primero; bronca el jueves'). SABE (sutil, guardado) de Momo y Nejire -> reclasificado por Momo como BOVEDA ('no confirmar nunca, no mentir jamas'). || S18/D23: MUNICION VIVA registrada al cuaderno (protocolo de interruptor; el proyectil ES Akari). PERIMETRO de improvisacion pactado (verde/ambar/rojo; rojo=rewind+Ecos). BACK-UP DE ERASURE de por vida ofrecido -> elevado a Nezu (protocolo fin del mundo, sin fecha; sombra AFO nombrada). ""No vivire bajo una piedra"" recibido (""la sombra elegida es trinchera, no tumba; el escondite de hoy es el andamio""). BRONCA DE LA MONTURA: JUEVES."
nezu-001,Director Nezu,Director de UA,High Specs,alta,"S3: cita — beca validada, prórroga, aliado táctico, descartó el peor caso del avalista, advirtió del coleccionista. S4/D4: Akari le dejó una NOTA (oficina cerrada de noche) pidiendo cita para 2 asuntos: alojamiento (los dormitorios en construcción) y 'algo entre muros' (avalista/borrado). Aliado; cita pendiente. S8/D7 ~21:30: desde su despacho VIO a Corvax patrullar de noche y SALUDÓ con la patita (taza de té en la otra); recibirá en mano el informe del flanco este; según Aizawa citará a Akari PRONTO (dormitorios + entre-muros + informe). S11/D12 16:00 — CUMBRE BILATERAL: Bashō devuelto ('¿me describe a mí o se describe usted?'); iniciativa Nighteye cobrada (16 h antes que sus canales); consejo: ir como CANDIDATO, no como misterio; DORMITORIOS 7-8 jun (habitación asignada, 'piloto del programa'); OBSERVADORES de la Comisión en los prácticos del 5; funcionario de las listas detectado y vigilado ('latente no es dormido — es paciente'); metáfora castaños/alero ADOPTADA + APLAUDIÓ (3 palmaditas; 'lista de tres con las nutrias' según Aizawa); mobiliario de savia APROBADO ('el primer alumno cuyo escritorio hay que regar'); 'la puerta de este despacho responde a la iniciativa mejor que a la cita previa'. S14/D15: cita pendiente se ACTIVA — Aizawa subirá mañana la petición del aula de repaso inter-clase. Excusa de oro: aula + dormitorios 7-8 jun (ya asignada habitación) + funcionario de las listas (vigilado) + 'entre-muros'. La doctrina de los castaños/alero sigue operativa. | S15/D16: cita INMINENTE (Aizawa la sube tras la Fase 3 y el aula). Agenda esperada: dormitorios + funcionario de listas + aula de repaso + la Fase 3/4 como carta de negociacion ('un activo que UA puede defender'). Auditoria silenciosa de accesos al expediente de Akari en marcha (contra la fuga; resultado en dias). | S16/D17 CITA CUMPLIDA - SALTO A SOCIO: protocolo -DONO reciproco ratificado ('Hayami-kun para el dia que me decepcione'); Kanemori vs acertijo sajon; aula firmada en el acto; revelo la credencial del muerto y la hipotesis del tasador/coleccionista; recibio la FASE 4 como carta (paraguas conjunto con Aizawa); dio: vigilancia familia Hayami + pase nocturno + primicia de la identidad del dueno; anoto FAVOR SIN FECHA ('mi lengua materna: teoria de juegos'); custodia el SOBRE lacrado en sangre (abrir vie 31 18:00, palabra de -dono). 'Yo creci en un laboratorio. Mi lista, a su edad, era mas corta que la suya y mas humeda.' Aviso: no cambiar rutinas esta semana."
present-mic-001,Present Mic (Hizashi Yamada),Profesor de inglés,Voice,media,"S2: profesor ganado (oído musical). Deberes: Paranoid Android. ⭐ S10/D11: Akari le dio el ESPECTÁCULO — respondió en inglés con flow ('my grammar is a garage band, but the rhythm is true') y le pidió su emisora delante de la clase → DETONÓ: reveló su patrón de examen ('if you can sing it, you can say it; if you can say it, you pass') + su fuente (PUT YOUR HANDS UP RADIO, viernes madrugada: rock clásico, hip-hop old school, Slang Attack) + reto vivo: UNA EXPRESIÓN NUEVA CADA LUNES usada en clase ('homework by request — ¡a ti ya te apunto, Hayami!'). Flanco de Inglés abierto por la puerta grande. S11/D12: programa especial pre-exámenes emitido (grabado: 3 h 12 min); expresión del lunes cazada: ""don't sleep on it"". | S15/D16 Ingles: Akari solto expresiones nuevas (killing it/running it back) y REDIRIGIO el foco a Jiro ('guest tonight'); Mic sacó a Jiro al altavoz (semianonimato de la productora del single). || S18/D23: metodo musica=ingles CONFIRMADO en Akari (analisis de Blur en ingles); NOTA SEMANAL ADELANTADA; ""homework by request"" ampliado a dos (Akari letra, Jiro sonido). POV en sala de profesores (cambio su clase a Britpop)."
snipe-001,Snipe,Profesor de Ciencia de Quirks/Física aplicada + tiro,Homing,media,"S9/D10: ANEXIONADO como flanco académico — Akari explicó la física de su propio Quirk y Snipe quedó impresionado ('la mayoría usa su quirk; tú lo has ENTENDIDO; otra liga'). Estilo western, tranquilo. Premia el 'por qué físico'. S10/D11 (evaluó el combate práctico): leído por el bisturí — se coloca donde ve 3 arenas en diagonal, mira PREPARATIVOS y MANOS (no golpes), puntúa economía ('cada disparo cuenta'); su asignatura = 'balística del yo' (trayectoria, economía, restricción). Y él leyó a Akari de vuelta: 'Peleas como si tomaras apuntes. Los que toman apuntes suelen tener preguntas. Mi despacho está al lado del campo de tiro. Cuando el temario de mi asignatura te parezca pequeño... que te parecerá... tráelas.' Puerta abierta. | S16/D17: leccion de balistica de fluidos (cohesion/cascara/SPIN; latex+lignina) a pregunta 'curiosamente especifica' ('de parte de Aizawa'); GALERIA DE TIRO ABIERTA ('traiga el material hipotetico; la fisica se entiende con las manos; abre a las siete'). | S17: D18: spec del paso largo (1v/40cm — 'el paso del carril lo decide la municion, no el entusiasmo'). D22: debut del Ave Maria en su galeria (cero 25/50; doctrina del codo: 'no pidas perdon'); SE QUEDO EL VIROTE Nº1 ('los armeros somos sentimentales, no se lo digas a nadie'); LUNES 16:00 FIJO; tarea 10 disparos en seco/dia; a Mei: 'buen carril. La fisica te perdona el entusiasmo.'"
thirteen-001,Thirteen,Profesora de Rescate y gestión de crisis,Black Hole,media,"S9/D10: foco nuevo. Recuperándose de su herida del USJ (se le nota al moverse). Filosofía que tocó a Akari: 'el mismo poder que salva es el que mata; la diferencia es el CONTROL' (describe sin saberlo la condición del propio Quirk de Akari — savia que da vida y bebe sangre). Valoró a Hagakure como uno de los mejores Quirks de rescate de la clase. | S16/D17 primer vinculo personal: ejercicio 'a cual vas' ('el que no grita: gritar cuesta aire; el silencio es lo que se esta muriendo'); confidencia del USJ ('me rompi la espalda por girarme a proteger a los que gritaban; enseno a elegir ANTES de girarse'); OFERTA de creditos extra de rescate ('perfil de rescate: sanador, coordinador, bestias de carga; los que sacan gente de agujeros nunca sobran')."
midnight-nota,Midnight (Nemuri Kayama) — VER relaciones.csv,Profesora de Hª del Arte + opción romántica,Somnambulist,alta,"Midnight es a la vez PROFESORA (mentora del flanco Hª del Arte: 'a quién le miente el cartel', ensayo, tutorías) y OPCIÓN ROMÁNTICA (deseo naciente, tabú). Su ficha viva está en relaciones.csv (midnight-001). Aquí solo el rol docente: le desmontó a Akari el 'por qué el número uno' (semilla del cambio de motivación) y le afila la matrícula. S11/D12: ensayo ENTREGADO ('bisturí y corazón'); tutoría miércoles 15:30. | S17: (ficha docente; el vinculo vive en relaciones.csv) S17: Werther devuelto D19; sala 3 D22 (la leccion del arte censurado + The Eldar + la fecha del 'por ahora'). 2o ensayo (2.000 palabras) SIGUE PENDIENTE. ⚠ Primera clase post-Eldar: martes 11:40. || S18/D23: teatro de las dos mascaras sostenido en vivo (primera clase post-Eldar); Akari le devolvio su propio retrato del derrame como teoria + la herramienta; ella la uso para sostener la careta. 2o ensayo ""El martirio como espectaculo publico"" encargado. NO floracion; caucion de Momo intacta."
all-might-001,All Might (Toshinori Yagi),Profesor de Fundamentos Heroicos,One For All,alta,"S9/D9: 1er CONTACTO REAL. Ejercicio de JUICIO EN CAMPO (3 emergencias): Akari abrió con juicio de triaje (delegó Avatar+gorila, tomó él el más urgente). All Might impresionado: 'el poder lo tienes o no; el JUICIO se elige; quiero verte crecer, muchacho'. Akari le devolvió su lema 'YA ESTOY AQUÍ' (para esquivar el elogio); All Might lo vio entero ('esa frase está registrada, pero te la presto'). Reloj visible: sostiene la forma con voluntad, el tiempo medido en minutos que gasta 'hoy, aquí, en este crío'. Piensa: 'si el mundo no lo rompe antes, este va a llegar'. S11/D12: ejercicio ESCOLTA A CIEGAS DE CÁMARA (la nota la pone el herido); a Akari: '¡EL CONSENTIMIENTO TAMBIÉN ES RESCATE!' (8,7 de Tsuyu, 2º de la clase tras Momo 9,2); POV: 'juicio para elegir, cuidado para preguntar, espectáculo solo donde protege… a Sir le descontaría puntos el dramatismo — y lo ficharía' (ironía: no sabe de la petición); el alquiler de la forma pagado sonriendo. | S15/D16 Fundamentos: ejercicio de comunicacion con el rescatado (All Might hizo de civil aterrado). Akari VENCIO su flanco marcado ('repartio el control: tu el aire, yo la pierna'; sobresaliente, 'flanco enfrentado y vencido'). Leccion que pesa: 'un heroe que lee corazones puede guiarlos o usarlos; elige GUIAR, siempre' (aplicada luego por Akari con Nejire y Uraraka). | S17: D19 (extraccion bajo amenaza): 9,6 — comunicacion 7->10 con LA SAVIA-QUE-HABLA ('te dije que tu savia vibra y que algun dia la hicieras hablar. Ha sido HOY. El poder se tiene o no: el juicio se elige. Y tu hoy le has puesto VOZ al juicio'). HIPOTESIS SUMMA CONFIRMADA: puntua juicio/protocolo/comunicacion. || S18/D23: MATRICULA de juicio + LIDERAZGO en Fundamentos (simulacro con trampa doble; Akari salvo a Bakugo sin humillarlo). ""Eso es LIDERAZGO."" Conexion con el 9,6 del viernes."
cementoss-001,Cementoss,Profesor de Literatura/Arte moderno,Cement,media,"S9/D8: flanco de LITERATURA — 'otra ciudad en los ojos'. Amable como un muro al sol. ⭐ S10/D11 (1ª escena desarrollada): clase de las RUINAS (Miyazawa); su sistema leído: premia CICATRIZ DE LECTURA (qué te hizo el texto, no qué significa) y conexiones externas; su quietud geológica = subrayado. Akari recitó OZYMANDIAS (Shelley) → estatuas de héroes/rankings ('me interesa lo que la arena no puede tapar') → Cementoss iluminado ('Keats, Byron, Coleridge... ¿los frecuenta?'; 'fearful symmetry') + INVITACIÓN PERSONAL: 'cuando quiera enseñarme lo que USTED escribe — porque usted escribe, eso se oye en cómo cita — mi puerta no tiene horario.' Presenció el duelo Ozymandias-vs-Yosano con Momo ('dos alumnos con biblioteca propia, bendito jueves'). S11/D12: 'hay alumnos que leen un texto y alumnos que lo EXCAVAN' (doble columna en inglés + literatura de 3º observadas). S14/D15: RECIBE 'INJERTO' (primer escrito propio de Akari a un mentor, 12 líneas autobiográficas — 'me cortaron de un árbol que no me quería... cada boca que amé me dejó un anillo nuevo; en la veta se lee, sin mentir, cuánto he crecido'). Lo lee 2 veces sin cambio de gesto. 'Alumnos que brillan comentando a los muertos hay muchos; los que se atreven a poner los suyos por escrito, pocos. Se lo leo y hablamos al final.' Punto débil Literatura (cicatriz por escrito) atacado. Próxima entrega: escrito sobre Goethe/Werther (comentario de texto ajeno que pidió). | S17: D19: ejercicio sorpresa de comentario POR ESCRITO (20 min, cartas finales del Werther) — leyo el de Akari dos veces: 'el escrito de la semana que viene traigalo asi. Exactamente asi' -> D22: devuelto con 9,5 ('el punto que falta es para que vuelva'). El flanco 'cicatriz por escrito' atacado en su casa."
sabueso-001,El Sabueso (Kuroda),Pro-hero underground (Naka-ku sur),Olfato/rastreo,media,S1: aviso + sospecha. Contacto de zona. Sin aparición reciente.
mika-001,Mika Jirō (madre de Kyōka),Profesora de canto (informal; música de sesión),—,media,"S10/D11 (ev-130): Akari le pidió NOCIONES DE CANTO ('el mapa del instrumento': garganta, respiración, apoyo, modulación, flujo de aire) tras escucharla calentar → ACEPTÓ: los JUEVES antes del ensayo; tarifa única: 'cantar una nota delante de la banda sin morirse de vergüenza'. Primera lección regalada: el sonido no se EMPUJA, se APOYA; el gutural usa las cuerdas falsas; quien tenga las dos puntas (voz blanca + ultratumba) tiene el medio de regalo. SABÍA lo de la ventana del martes y calló ('los tejados crujen... este aviso al menos vino por la puerta'); dio la BENDICIÓN familiar en argot de técnico de sonido ('que se respete la impedancia y nadie sature la señal'). Marido: KYOTOKU (bajo; 'respira desde aquí' = clase magistral de 4 palabras; se sumó al single de oído desde el salón). Meta privada de Akari (no dicha entera): Cuerpo para el rango voz blanca→gutural. S14/D15: Mika ve a Akari acompañar a Jirō al portal (sin bajar) — el tejado cruje de verdad. Primera clase de canto FORMAL el JUEVES D18 pendiente (ya pactada S10/D11)."
ectoplasm-001,Ectoplasm,Profesor de Matemáticas,Clones,media,"(Ficha docente — el histórico breve vive también en companeros.csv.) S3: reconoció su aptitud ('matemática hecha verso'); le lanza problemas a propósito. ⭐ S10/D11 (ev-122): DUELO ACEPTADO Y GANADO — Akari resolvió el problema-con-colmillo por la vía ortodoxa Y por un segundo camino (simetría, 3 líneas, el porqué geométrico); Ectoplasm DISOLVIÓ el clon (gesto de foco máximo): 'La primera resolución aprueba exámenes. La segunda es matemática. Una aprueba; la otra ENTIENDE.' PREMIO: 'el lunes te traeré un problema que no es de este curso. Sin nota, sin obligación. Los duelos de verdad no puntúan.' Flanco de Mates abierto de par en par; quiere un duelista y lo ha encontrado. S14/D15 (duelo del lunes): Akari resuelve por SEGUNDO CAMINO (simetría, 3 líneas, por qué geométrico) + generaliza a polígono equiangular (área lineal). Ectoplasm disuelve el clon: 'una aprueba; otra ENTIENDE'. PETICIÓN post-clase: aula física no-lectiva 15-16h para repaso inter-clase 1-A+1-B voluntario. Ectoplasm: 'no es mi mesa; lleva a Aizawa; si metes 1-B, Vlad King; en horario, Nezu decide'. | S16/D17: generalizacion equiangular presentada sin colmillo -> 'se sostiene; traigame la demostracion formal el lunes y la registramos como trabajo voluntario.' | S17: D22: LA PIZARRA GRANDE — demostracion equiangular registrada como trabajo voluntario DE NIVEL SUPERIOR (colmillos defendidos; el contraejemplo de Yaoyorozu desmontado en vivo): 'hay alumnos que aprueban mi asignatura; cada varios anos, alguno que la HABITA. La pizarra grande queda a su disposicion los lunes. Es una llave, no un premio. Las llaves obligan.'"
nighteye-001,Sir Nighteye,Pro-hero (agencia propia; ex-sidekick),Foresight (lector de tiempo: tacto+contacto visual),alta,"S11/D12: petición de Akari vía Mirio ('personal, no trabajo') → respuesta: 'que venga por el cauce que existe: candidato a pasantía. 9 de junio, 16:40. Doce minutos.' + APUNTÓ su nombre (teatro deliberado — Sir no apunta nada). Perfil según Nezu: archivo privado con patas y principios; no es canal de la Comisión; 'un aliado que ve las bengalas antes de que se enciendan'. Según Aizawa: leal a su propio juicio; 'se le administra el presente'. Arco 2 encendido."
